,0
193,1759-12-01
194,1760-01-01
195,1760-02-01
196,1760-03-01
197,1760-04-01
198,1760-05-01
199,1760-06-01
200,1760-07-01
201,1760-08-01
202,1760-09-01
203,1760-10-01
204,1760-11-01
205,1760-12-01
206,1761-01-01
207,1761-02-01
208,1761-03-01
209,1761-04-01
210,1761-05-01
211,1761-06-01
212,1761-07-01
213,1761-08-01
214,1761-09-01
215,1761-10-01
216,1761-11-01
217,1761-12-01
218,1762-01-01
219,1762-02-01
220,1762-03-01
221,1762-04-01
222,1762-05-01
223,1762-06-01
224,1762-07-01
225,1762-08-01
226,1762-09-01
227,1762-10-01
228,1762-11-01
229,1762-12-01
230,1763-01-01
231,1763-02-01
232,1763-03-01
233,1763-04-01
234,1763-05-01
235,1763-06-01
236,1763-07-01
237,1763-08-01
238,1763-09-01
239,1763-10-01
240,1763-11-01
241,1763-12-01
242,1764-01-01
243,1764-02-01
244,1764-03-01
245,1764-04-01
246,1764-05-01
247,1764-06-01
248,1764-07-01
249,1764-08-01
250,1764-09-01
251,1764-10-01
252,1764-11-01
253,1764-12-01
254,1765-01-01
255,1765-02-01
256,1765-03-01
257,1765-04-01
258,1765-05-01
259,1765-06-01
260,1765-07-01
261,1765-08-01
262,1765-09-01
263,1765-10-01
264,1765-11-01
265,1765-12-01
266,1766-01-01
267,1766-02-01
268,1766-03-01
269,1766-04-01
270,1766-05-01
271,1766-06-01
272,1766-07-01
273,1766-08-01
274,1766-09-01
275,1766-10-01
276,1766-11-01
277,1766-12-01
278,1767-01-01
279,1767-02-01
280,1767-03-01
281,1767-04-01
282,1767-05-01
283,1767-06-01
284,1767-07-01
285,1767-08-01
286,1767-09-01
287,1767-10-01
288,1767-11-01
289,1767-12-01
290,1768-01-01
291,1768-02-01
292,1768-03-01
293,1768-04-01
294,1768-05-01
295,1768-06-01
296,1768-07-01
297,1768-08-01
298,1768-09-01
299,1768-10-01
300,1768-11-01
301,1768-12-01
302,1769-01-01
303,1769-02-01
304,1769-03-01
305,1769-04-01
306,1769-05-01
307,1769-06-01
308,1769-07-01
309,1769-08-01
310,1769-09-01
311,1769-10-01
312,1769-11-01
313,1769-12-01
314,1770-01-01
315,1770-02-01
316,1770-03-01
317,1770-04-01
318,1770-05-01
319,1770-06-01
320,1770-07-01
321,1770-08-01
322,1770-09-01
323,1770-10-01
324,1770-11-01
325,1770-12-01
326,1771-01-01
327,1771-02-01
328,1771-03-01
329,1771-04-01
330,1771-05-01
331,1771-06-01
332,1771-07-01
333,1771-08-01
334,1771-09-01
335,1771-10-01
336,1771-11-01
337,1771-12-01
338,1772-01-01
339,1772-02-01
340,1772-03-01
341,1772-04-01
342,1772-05-01
343,1772-06-01
344,1772-07-01
345,1772-08-01
346,1772-09-01
347,1772-10-01
348,1772-11-01
349,1772-12-01
350,1773-01-01
351,1773-02-01
352,1773-03-01
353,1773-04-01
354,1773-05-01
355,1773-06-01
356,1773-07-01
357,1773-08-01
358,1773-09-01
359,1773-10-01
360,1773-11-01
361,1773-12-01
362,1774-01-01
363,1774-02-01
364,1774-03-01
365,1774-04-01
366,1774-05-01
367,1774-06-01
368,1774-07-01
369,1774-08-01
370,1774-09-01
371,1774-10-01
372,1774-11-01
373,1774-12-01
374,1775-01-01
375,1775-02-01
376,1775-03-01
377,1775-04-01
378,1775-05-01
379,1775-06-01
380,1775-07-01
381,1775-08-01
382,1775-09-01
383,1775-10-01
384,1775-11-01
385,1775-12-01
386,1776-01-01
387,1776-02-01
388,1776-03-01
389,1776-04-01
390,1776-05-01
391,1776-06-01
392,1776-07-01
393,1776-08-01
394,1776-09-01
395,1776-10-01
396,1776-11-01
397,1776-12-01
398,1777-01-01
399,1777-02-01
400,1777-03-01
401,1777-04-01
402,1777-05-01
403,1777-06-01
404,1777-07-01
405,1777-08-01
406,1777-09-01
407,1777-10-01
408,1777-11-01
409,1777-12-01
410,1778-01-01
411,1778-02-01
412,1778-03-01
413,1778-04-01
414,1778-05-01
415,1778-06-01
416,1778-07-01
417,1778-08-01
418,1778-09-01
419,1778-10-01
420,1778-11-01
421,1778-12-01
422,1779-01-01
423,1779-02-01
424,1779-03-01
425,1779-04-01
426,1779-05-01
427,1779-06-01
428,1779-07-01
429,1779-08-01
430,1779-09-01
431,1779-10-01
432,1779-11-01
433,1779-12-01
434,1780-01-01
435,1780-02-01
436,1780-03-01
437,1780-04-01
438,1780-05-01
439,1780-06-01
440,1780-07-01
441,1780-08-01
442,1780-09-01
443,1780-10-01
444,1780-11-01
445,1780-12-01
446,1781-01-01
447,1781-02-01
448,1781-03-01
449,1781-04-01
450,1781-05-01
451,1781-06-01
452,1781-07-01
453,1781-08-01
454,1781-09-01
455,1781-10-01
456,1781-11-01
457,1781-12-01
458,1782-01-01
459,1782-02-01
460,1782-03-01
461,1782-04-01
462,1782-05-01
463,1782-06-01
464,1782-07-01
465,1782-08-01
466,1782-09-01
467,1782-10-01
468,1782-11-01
469,1782-12-01
470,1783-01-01
471,1783-02-01
472,1783-03-01
473,1783-04-01
474,1783-05-01
475,1783-06-01
476,1783-07-01
477,1783-08-01
478,1783-09-01
479,1783-10-01
480,1783-11-01
481,1783-12-01
482,1784-01-01
483,1784-02-01
484,1784-03-01
485,1784-04-01
486,1784-05-01
487,1784-06-01
488,1784-07-01
489,1784-08-01
490,1784-09-01
491,1784-10-01
492,1784-11-01
493,1784-12-01
494,1785-01-01
495,1785-02-01
496,1785-03-01
497,1785-04-01
498,1785-05-01
499,1785-06-01
500,1785-07-01
501,1785-08-01
502,1785-09-01
503,1785-10-01
504,1785-11-01
505,1785-12-01
506,1786-01-01
507,1786-02-01
508,1786-03-01
509,1786-04-01
510,1786-05-01
511,1786-06-01
512,1786-07-01
513,1786-08-01
514,1786-09-01
515,1786-10-01
516,1786-11-01
517,1786-12-01
518,1787-01-01
519,1787-02-01
520,1787-03-01
521,1787-04-01
522,1787-05-01
523,1787-06-01
524,1787-07-01
525,1787-08-01
526,1787-09-01
527,1787-10-01
528,1787-11-01
529,1787-12-01
530,1788-01-01
531,1788-02-01
532,1788-03-01
533,1788-04-01
534,1788-05-01
535,1788-06-01
536,1788-07-01
537,1788-08-01
538,1788-09-01
539,1788-10-01
540,1788-11-01
