dt,City,Latitude,Longitude,AverageTemperature,AverageTemperatureUncertainty
1811-12-01,A Coruña,42.59,-8.73,8.068,2.903
1811-12-01,Aachen,50.63,6.34,2.16,3.386
1811-12-01,Aalborg,57.05,10.33,1.745,3.035
1811-12-01,Aberdeen,57.05,-1.48,4.8519999999999985,3.1689999999999996
1811-12-01,Achalpur,21.7,77.02,0.0,0.0
1811-12-01,Adana,36.17,35.8,12.258,2.372
1811-12-01,Adilabad,20.09,78.48,0.0,0.0
1811-12-01,Adoni,15.27,77.5,0.0,0.0
1811-12-01,Afyonkarahisar,39.38,31.21,2.647,2.43
1811-12-01,Agadir,29.74,-9.23,0.0,0.0
1811-12-01,Agartala,23.31,91.75,0.0,0.0
1811-12-01,Agra,26.52,78.81,0.0,0.0
1811-12-01,Ahmadabad,23.31,72.52,0.0,0.0
1811-12-01,Ahmadnagar,18.48,74.37,0.0,0.0
1811-12-01,Aix En Provence,44.2,4.47,2.378,3.123
1811-12-01,Aizawl,23.31,93.5,0.0,0.0
1811-12-01,Ajdabiya,31.35,20.73,12.1,2.349
1811-12-01,Ajmer,26.52,75.22,0.0,0.0
1811-12-01,Akola,20.09,76.78,0.0,0.0
1811-12-01,Akron,40.99,-80.95,-1.482,2.721
1811-12-01,Aksaray,37.78,34.58,2.79,2.4419999999999997
1811-12-01,Aktau,44.2,51.43,-1.101,2.898
1811-12-01,Akyab,20.09,92.13,0.0,0.0
1811-12-01,Alandur,13.66,80.09,0.0,0.0
1811-12-01,Alanya,36.17,31.82,13.348,2.3569999999999998
1811-12-01,Alappuzha,8.84,77.03,0.0,0.0
1811-12-01,Albacete,39.38,-2.08,3.858,2.832
1811-12-01,Alcalá De Henares,40.99,-4.26,2.846,2.923
1811-12-01,Alcobendas,40.99,-4.26,2.846,2.923
1811-12-01,Alcorcón,40.99,-4.26,2.846,2.923
1811-12-01,Aleppo,36.17,37.79,7.254,2.3819999999999997
1811-12-01,Alexandria,31.35,30.16,15.511,2.285
1811-12-01,Alexandria,39.38,-76.99,0.8379999999999999,2.827
1811-12-01,Algeciras,36.17,-5.97,11.794,2.714
1811-12-01,Algiers,36.17,3.98,7.489999999999997,2.653
1811-12-01,Aligarh,28.13,77.27,0.0,0.0
1811-12-01,Allahabad,24.92,81.58,0.0,0.0
1811-12-01,Allentown,40.99,-74.56,-1.706,2.93
1811-12-01,Almere,52.24,5.26,3.35,3.2939999999999996
1811-12-01,Almería,36.17,-1.99,13.14,2.681
1811-12-01,Almetyevsk,55.45,51.02,-9.59,3.1660000000000004
1811-12-01,Alwar,28.13,77.27,0.0,0.0
1811-12-01,Amadora,39.38,-8.32,8.587,2.7769999999999997
1811-12-01,Ambala,29.74,77.54,0.0,0.0
1811-12-01,Ambarnath,18.48,72.68,0.0,0.0
1811-12-01,Ambattur,13.66,80.09,0.0,0.0
1811-12-01,Ambur,12.05,78.9,0.0,0.0
1811-12-01,Amersfoort,52.24,5.26,3.35,3.2939999999999996
1811-12-01,Amiens,49.03,2.45,3.4389999999999996,3.38
1811-12-01,Amravati,21.7,77.02,0.0,0.0
1811-12-01,Amroha,28.13,79.09,0.0,0.0
1811-12-01,Amsterdam,52.24,5.26,3.35,3.2939999999999996
1811-12-01,Anand,23.31,72.52,0.0,0.0
1811-12-01,Anantapur,15.27,77.5,0.0,0.0
1811-12-01,Ancona,44.2,13.42,6.831,3.298
1811-12-01,Angers,47.42,-1.18,3.7810000000000006,3.3280000000000003
1811-12-01,Ankara,39.38,33.29,1.505,2.444
1811-12-01,Ann Arbor,42.59,-82.91,-2.83,2.58
1811-12-01,Antakya,36.17,35.8,12.258,2.372
1811-12-01,Antalya,37.78,30.51,3.702,2.423
1811-12-01,Antananarivo,-18.48,47.32,0.0,0.0
1811-12-01,Antsirabe,-20.09,47.77,0.0,0.0
1811-12-01,Antwerp,50.63,3.8,3.4810000000000003,3.532
1811-12-01,Apeldoorn,52.24,5.26,3.35,3.2939999999999996
1811-12-01,Aqtöbe,50.63,57.04,-10.714,3.343
1811-12-01,Ara,24.92,85.12,0.0,0.0
1811-12-01,Arad,45.81,21.92,0.025000000000000026,3.062
1811-12-01,Arkhangelsk,65.09,40.21,-9.089,3.1189999999999998
1811-12-01,Arlington,39.38,-76.99,0.8379999999999999,2.827
1811-12-01,Armavir,45.81,40.38,0.799,2.565
1811-12-01,Arnhem,52.24,5.26,3.35,3.2939999999999996
1811-12-01,Aryanah,36.17,9.94,10.344000000000001,2.5660000000000003
1811-12-01,Arzamas,55.45,42.52,-7.099,2.8160000000000003
1811-12-01,Asansol,23.31,86.5,0.0,0.0
1811-12-01,Asfi,32.95,-8.62,12.754000000000001,2.57
1811-12-01,Ashdod,31.35,33.93,14.682,2.359
1811-12-01,Ashqelon,31.35,33.93,14.682,2.359
1811-12-01,Astrakhan,45.81,47.31,-1.34,2.8489999999999998
1811-12-01,Athens,37.78,24.41,11.537,2.612
1811-12-01,Atlanta,34.56,-83.68,4.963,2.7960000000000003
1811-12-01,Atyrau,47.42,50.92,-5.511,3.073
