dt,City,Latitude,Longitude,AverageTemperature,AverageTemperatureUncertainty
1791-02-01,A Coruña,42.59,-8.73,8.684,1.63
1791-02-01,Aachen,50.63,6.34,2.22,2.608
1791-02-01,Aalborg,57.05,10.33,2.012,2.517
1791-02-01,Aberdeen,57.05,-1.48,5.308,2.417
1791-02-01,Afyonkarahisar,39.38,31.21,2.4610000000000003,2.766
1791-02-01,Agadir,29.74,-9.23,13.548,1.786
1791-02-01,Aix En Provence,44.2,4.47,4.415,2.001
1791-02-01,Ajdabiya,31.35,20.73,13.209000000000001,2.351
1791-02-01,Akron,40.99,-80.95,-3.215,3.65
1791-02-01,Aksaray,37.78,34.58,2.615,2.758
1791-02-01,Aktau,44.2,51.43,-1.7959999999999998,2.965
1791-02-01,Alanya,36.17,31.82,12.284,2.5660000000000003
1791-02-01,Albacete,39.38,-2.08,5.363,1.527
1791-02-01,Alcalá De Henares,40.99,-4.26,4.2940000000000005,1.5419999999999998
1791-02-01,Alcobendas,40.99,-4.26,4.2940000000000005,1.5419999999999998
1791-02-01,Alcorcón,40.99,-4.26,4.2940000000000005,1.5419999999999998
1791-02-01,Alexandria,39.38,-76.99,-0.551,3.819
1791-02-01,Algeciras,36.17,-5.97,11.857000000000001,2.0140000000000002
1791-02-01,Algiers,36.17,3.98,8.782,1.695
1791-02-01,Allentown,40.99,-74.56,-4.232,4.165
1791-02-01,Almere,52.24,5.26,3.3999999999999995,2.575
1791-02-01,Almería,36.17,-1.99,12.681,1.665
1791-02-01,Almetyevsk,55.45,51.02,-10.315,2.762
1791-02-01,Amadora,39.38,-8.32,9.732999999999999,1.8119999999999998
1791-02-01,Amersfoort,52.24,5.26,3.3999999999999995,2.575
1791-02-01,Amiens,49.03,2.45,4.157,2.353
1791-02-01,Amsterdam,52.24,5.26,3.3999999999999995,2.575
1791-02-01,Ancona,44.2,13.42,6.546,2.51
1791-02-01,Angers,47.42,-1.18,5.093999999999999,1.9409999999999998
1791-02-01,Ankara,39.38,33.29,1.356,2.8169999999999997
1791-02-01,Ann Arbor,42.59,-82.91,-5.072,3.571
1791-02-01,Antalya,37.78,30.51,3.695,2.6639999999999997
1791-02-01,Antananarivo,-18.48,47.32,21.916,2.262
1791-02-01,Antsirabe,-20.09,47.77,22.96,2.298
1791-02-01,Antwerp,50.63,3.8,3.7569999999999997,2.488
1791-02-01,Apeldoorn,52.24,5.26,3.3999999999999995,2.575
1791-02-01,Aqtöbe,50.63,57.04,-12.913,3.0989999999999998
1791-02-01,Arad,45.81,21.92,0.4390000000000001,2.835
