dt,City,Latitude,Longitude,AverageTemperature,AverageTemperatureUncertainty
1773-04-01,A Coruña,42.59,-8.73,12.135,3.0789999999999997
1773-04-01,Aachen,50.63,6.34,8.107000000000001,3.998
1773-04-01,Aalborg,57.05,10.33,6.8260000000000005,3.82
1773-04-01,Aberdeen,57.05,-1.48,6.4179999999999975,3.892
1773-04-01,Afyonkarahisar,39.38,31.21,11.337,2.8810000000000002
1773-04-01,Aix En Provence,44.2,4.47,9.707,3.725
1773-04-01,Akron,40.99,-80.95,9.901,3.503
1773-04-01,Albacete,39.38,-2.08,11.077,3.1839999999999997
1773-04-01,Alcalá De Henares,40.99,-4.26,9.741,3.2430000000000003
1773-04-01,Alcobendas,40.99,-4.26,9.741,3.2430000000000003
1773-04-01,Alcorcón,40.99,-4.26,9.741,3.2430000000000003
1773-04-01,Alexandria,39.38,-76.99,12.156,3.745
1773-04-01,Algeciras,36.17,-5.97,16.375999999999998,2.8510000000000004
1773-04-01,Algiers,36.17,3.98,14.348999999999998,3.14
1773-04-01,Allentown,40.99,-74.56,9.441,3.795
1773-04-01,Almere,52.24,5.26,8.363999999999999,4.09
1773-04-01,Almería,36.17,-1.99,16.163,2.947
1773-04-01,Almetyevsk,55.45,51.02,5.81,2.61
1773-04-01,Amadora,39.38,-8.32,14.771,2.969
1773-04-01,Amersfoort,52.24,5.26,8.363999999999999,4.09
1773-04-01,Amiens,49.03,2.45,9.247,3.892
1773-04-01,Amsterdam,52.24,5.26,8.363999999999999,4.09
1773-04-01,Ancona,44.2,13.42,11.532,3.65
1773-04-01,Angers,47.42,-1.18,10.061,3.688
1773-04-01,Ankara,39.38,33.29,0.0,0.0
1773-04-01,Ann Arbor,42.59,-82.91,8.357000000000001,3.363
1773-04-01,Antwerp,50.63,3.8,9.07,3.997
1773-04-01,Apeldoorn,52.24,5.26,8.363999999999999,4.09
1773-04-01,Arad,45.81,21.92,10.505,3.2960000000000003
1773-04-01,Arkhangelsk,65.09,40.21,0.988,2.156
1773-04-01,Arlington,39.38,-76.99,12.156,3.745
1773-04-01,Armavir,45.81,40.38,12.052,2.6430000000000002
1773-04-01,Arnhem,52.24,5.26,8.363999999999999,4.09
1773-04-01,Aryanah,36.17,9.94,16.262999999999998,3.1489999999999996
1773-04-01,Arzamas,55.45,42.52,7.121,2.2359999999999998
1773-04-01,Athens,37.78,24.41,15.713,2.984
1773-04-01,Atlanta,34.56,-83.68,15.63,3.18
1773-04-01,Augsburg,47.42,10.66,3.696,3.9539999999999997
1773-04-01,Aurora,40.99,-87.34,10.847999999999999,3.241
1773-04-01,Bacau,45.81,26.54,8.68,2.986
1773-04-01,Badajoz,39.38,-6.24,14.460999999999999,3.069
1773-04-01,Badalona,40.99,2.13,13.608,3.389
1773-04-01,Baia Mare,47.42,22.5,10.395999999999999,3.2569999999999997
1773-04-01,Balakovo,52.24,47.3,7.592,2.7030000000000003
1773-04-01,Balashikha,55.45,36.85,6.975,2.009
1773-04-01,Balti,47.42,27.24,9.968,2.91
1773-04-01,Baltimore,39.38,-76.99,12.156,3.745
1773-04-01,Banja Luka,44.2,17.89,8.987,3.478
1773-04-01,Barcelona,40.99,2.13,13.608,3.389
1773-04-01,Bari,40.99,17.04,13.435,3.342
1773-04-01,Barrie,44.2,-80.5,5.4910000000000005,3.415
1773-04-01,Basel,47.42,8.29,5.836,3.9819999999999998
1773-04-01,Basildon,52.24,0.0,8.068999999999999,3.923
1773-04-01,Bataysk,47.42,39.08,11.086,2.6180000000000003
1773-04-01,Baton Rouge,29.74,-90.46,21.875999999999998,2.866
1773-04-01,Belfast,55.45,-5.67,7.174,3.76
1773-04-01,Belgorod,50.63,36.76,8.958,2.457
1773-04-01,Belgrade,44.2,20.12,10.591,3.3760000000000003
1773-04-01,Benghazi,32.95,20.11,17.623,2.8569999999999998
1773-04-01,Berezniki,58.66,55.38,4.194,2.614
1773-04-01,Bergamo,45.81,10.38,8.507,3.866
1773-04-01,Bergen,60.27,6.49,1.2799999999999998,3.806
1773-04-01,Bergisch Gladbach,50.63,6.34,8.107000000000001,3.998
1773-04-01,Berlin,52.24,13.14,8.853,4.119
1773-04-01,Bern,47.42,8.29,5.836,3.9819999999999998
1773-04-01,Besançon,47.42,5.92,7.7860000000000005,3.963
1773-04-01,Bialystok,53.84,23.18,7.643000000000002,2.8369999999999997
1773-04-01,Bielefeld,52.24,7.880000000000001,8.462,4.087
1773-04-01,Bielsko Biala,50.63,19.01,8.475,3.552
1773-04-01,Bila Tserkva,49.03,29.39,9.152000000000001,2.7119999999999997
1773-04-01,Bilbao,42.59,-2.18,10.261,3.383
1773-04-01,Birmingham,32.95,-87.13,18.528,3.052
1773-04-01,Birmingham,52.24,-2.63,7.751,3.805
1773-04-01,Blackburn,53.84,-1.36,7.4529999999999985,3.9019999999999997
1773-04-01,Blackpool,53.84,-4.09,7.2890000000000015,3.8
1773-04-01,Bochum,52.24,7.880000000000001,8.462,4.087
1773-04-01,Bologna,44.2,11.18,10.136000000000001,3.73
1773-04-01,Bolton,53.84,-1.36,7.4529999999999985,3.9019999999999997
1773-04-01,Bonn,50.63,6.34,8.107000000000001,3.998
1773-04-01,Bordeaux,44.2,0.0,11.065,3.565
1773-04-01,Boston,42.59,-72.0,7.23,3.6310000000000002
1773-04-01,Botosani,47.42,27.24,9.968,2.91
1773-04-01,Bottrop,52.24,7.880000000000001,8.462,4.087
1773-04-01,Boulogne Billancourt,49.03,2.45,9.247,3.892
1773-04-01,Bournemouth,50.63,-1.27,8.044,3.824
1773-04-01,Bradford,53.84,-1.36,7.4529999999999985,3.9019999999999997
1773-04-01,Braga,40.99,-8.52,13.027000000000001,3.029
1773-04-01,Braila,45.81,28.85,10.952,2.843
1773-04-01,Brasov,45.81,26.54,8.68,2.986
1773-04-01,Bratislava,47.42,17.76,10.338,3.6069999999999998
1773-04-01,Breda,52.24,5.26,8.363999999999999,4.09
1773-04-01,Bremen,53.84,9.55,7.926,4.033
1773-04-01,Bremerhaven,53.84,9.55,7.926,4.033
1773-04-01,Brescia,45.81,10.38,8.507,3.866
1773-04-01,Brest,49.03,-4.9,8.942,3.568
1773-04-01,Brest,52.24,23.65,8.57,2.932
1773-04-01,Bridgeport,40.99,-72.43,8.408999999999999,3.71
1773-04-01,Brighton,50.63,-1.27,8.044,3.824
1773-04-01,Bristol,52.24,-2.63,7.751,3.805
1773-04-01,Brno,49.03,17.14,8.374,3.719
1773-04-01,Brugge,50.63,3.8,9.07,3.997
1773-04-01,Brunswick,52.24,10.51,7.928,4.15
1773-04-01,Brussels,50.63,3.8,9.07,3.997
1773-04-01,Bryansk,53.84,34.09,7.5939999999999985,2.1180000000000003
1773-04-01,Bucharest,44.2,26.83,12.015,2.984
1773-04-01,Budapest,47.42,20.13,10.67,3.437
1773-04-01,Buffalo,42.59,-78.55,7.308999999999997,3.565
1773-04-01,Burgas,42.59,28.36,10.671,2.904
1773-04-01,Burgos,42.59,-4.36,9.363999999999999,3.2889999999999997
1773-04-01,Bursa,39.38,29.13,11.21,2.912
1773-04-01,Buzau,45.81,26.54,8.68,2.986
1773-04-01,Bydgoszcz,53.84,17.73,8.469,3.53
1773-04-01,Bytom,50.63,19.01,8.475,3.552
1773-04-01,Cadiz,36.17,-5.97,16.375999999999998,2.8510000000000004
1773-04-01,Caen,49.03,0.0,8.839,3.815
1773-04-01,Cagliari,39.38,8.32,13.927,3.3689999999999998
1773-04-01,Calgary,50.63,-112.82,0.0,0.0
1773-04-01,Cambridge,42.59,-72.0,7.23,3.6310000000000002
1773-04-01,Cambridge,52.24,0.0,8.068999999999999,3.923
1773-04-01,Cape Coral,26.52,-82.39,23.16800000000001,2.805
1773-04-01,Cardiff,52.24,-2.63,7.751,3.805
1773-04-01,Cartagena,37.78,0.0,15.933000000000002,3.108
1773-04-01,Cary,36.17,-79.56,15.377,3.408
1773-04-01,Casablanca,32.95,-6.7,16.358,2.781
1773-04-01,Catania,37.78,14.24,12.68,3.213
1773-04-01,Cedar Rapids,42.59,-91.64,9.638,3.1889999999999996
1773-04-01,Charleroi,50.63,3.8,9.07,3.997
1773-04-01,Charleston,32.95,-79.47,19.102,3.18
1773-04-01,Charlotte,34.56,-81.73,17.137999999999998,3.234
1773-04-01,Chattanooga,34.56,-85.62,16.43,3.135
1773-04-01,Cheboksary,55.45,48.19,6.519,2.5
1773-04-01,Chelmsford,52.24,0.0,8.068999999999999,3.923
1773-04-01,Cheltenham,52.24,-2.63,7.751,3.805
1773-04-01,Chemnitz,50.63,13.94,7.939,4.178999999999999
1773-04-01,Cherepovets,58.66,36.92,5.455,1.795
1773-04-01,Cherkasy,49.03,31.84,9.561,2.6039999999999996
1773-04-01,Chernihiv,52.24,31.53,8.651,2.35
1773-04-01,Chernivtsi,49.03,26.94,8.987,2.8560000000000003
1773-04-01,Chesapeake,36.17,-75.58,14.706,3.489
1773-04-01,Chicago,42.59,-87.27,8.274000000000001,3.213
1773-04-01,Chisinau,47.42,29.61,10.307,2.7689999999999997
1773-04-01,Chorzow,50.63,19.01,8.475,3.552
1773-04-01,Cincinnati,39.38,-85.32,12.242,3.302
1773-04-01,Clarksville,36.17,-87.51,15.823,3.1510000000000002
1773-04-01,Clearwater,28.13,-82.73,22.662,2.8930000000000002
1773-04-01,Clermont Ferrand,45.81,3.46,7.135,3.8080000000000003
1773-04-01,Cleveland,40.99,-80.95,9.901,3.503
1773-04-01,Cluj Napoca,47.42,22.5,10.395999999999999,3.2569999999999997
1773-04-01,Coimbra,40.99,-8.52,13.027000000000001,3.029
1773-04-01,Colchester,52.24,0.0,8.068999999999999,3.923
1773-04-01,Cologne,50.63,6.34,8.107000000000001,3.998
1773-04-01,Columbia,34.56,-81.73,17.137999999999998,3.234
1773-04-01,Columbus,32.95,-85.21,18.046,3.082
1773-04-01,Columbus,39.38,-83.24,12.162,3.391
1773-04-01,Constanta,44.2,29.07,10.376,2.855
1773-04-01,Constantine,36.17,5.97,12.793,3.1639999999999997
1773-04-01,Copenhagen,55.45,11.34,6.8320000000000025,3.897
1773-04-01,Coral Springs,26.52,-80.6,24.129,2.805
1773-04-01,Cork,52.24,-7.880000000000001,8.719,3.5589999999999997
1773-04-01,Cottbus,52.24,13.14,8.853,4.119
1773-04-01,Coventry,52.24,-2.63,7.751,3.805
1773-04-01,Cracow,50.63,19.01,8.475,3.552
1773-04-01,Craiova,44.2,24.6,12.020999999999999,3.115
1773-04-01,Crawley,50.63,-1.27,8.044,3.824
1773-04-01,Czestochowa,50.63,19.01,8.475,3.552
1773-04-01,Córdoba,37.78,-4.07,14.737,3.033
1773-04-01,Dabrowa Gornicza,50.63,19.01,8.475,3.552
1773-04-01,Darmstadt,50.63,8.87,7.8039999999999985,4.012
1773-04-01,Daugavpils,55.45,25.51,7.155,2.37
1773-04-01,Dayton,39.38,-83.24,12.162,3.391
1773-04-01,Debrecen,47.42,22.5,10.395999999999999,3.2569999999999997
