dt,City,Latitude,Longitude,AverageTemperature,AverageTemperatureUncertainty
1817-04-01,A Coruña,42.59,-8.73,10.939,2.142
1817-04-01,Aachen,50.63,6.34,4.676,2.801
1817-04-01,Aalborg,57.05,10.33,4.272,2.202
1817-04-01,Aberdeen,57.05,-1.48,5.22,2.5669999999999997
1817-04-01,Abohar,29.74,73.85,27.39,2.291
1817-04-01,Achalpur,21.7,77.02,30.701999999999998,1.992
1817-04-01,Adana,36.17,35.8,15.658,2.355
1817-04-01,Adilabad,20.09,78.48,31.995,2.051
1817-04-01,Adoni,15.27,77.5,30.898000000000003,2.32
1817-04-01,Afyonkarahisar,39.38,31.21,7.9689999999999985,2.3930000000000002
1817-04-01,Agadir,29.74,-9.23,0.0,0.0
1817-04-01,Agartala,23.31,91.75,27.44700000000001,1.993
1817-04-01,Agra,26.52,78.81,29.542,2.019
1817-04-01,Ahmadabad,23.31,72.52,30.113000000000003,1.953
1817-04-01,Ahmadnagar,18.48,74.37,28.31600000000001,1.9880000000000002
1817-04-01,Ahmadpur East,29.74,72.0,27.601999999999997,2.352
1817-04-01,Aix En Provence,44.2,4.47,7.763,2.011
1817-04-01,Aizawl,23.31,93.5,25.366,1.979
1817-04-01,Ajdabiya,31.35,20.73,17.351000000000006,2.334
1817-04-01,Ajmer,26.52,75.22,29.343000000000004,2.076
1817-04-01,Akola,20.09,76.78,31.416,2.032
1817-04-01,Akron,40.99,-80.95,8.244,2.046
1817-04-01,Aksaray,37.78,34.58,8.609,2.404
1817-04-01,Aktau,44.2,51.43,10.956,2.434
1817-04-01,Akyab,20.09,92.13,26.462,1.855
1817-04-01,Alandur,13.66,80.09,29.249000000000002,2.625
1817-04-01,Alanya,36.17,31.82,13.794,2.3409999999999997
1817-04-01,Alappuzha,8.84,77.03,27.454,2.158
1817-04-01,Albacete,39.38,-2.08,9.545,2.005
1817-04-01,Alcalá De Henares,40.99,-4.26,8.329,2.108
1817-04-01,Alcobendas,40.99,-4.26,8.329,2.108
1817-04-01,Alcorcón,40.99,-4.26,8.329,2.108
1817-04-01,Aleppo,36.17,37.79,14.947,2.41
1817-04-01,Alexandria,31.35,30.16,17.279000000000003,2.282
1817-04-01,Alexandria,39.38,-76.99,10.444,2.244
