dt,City,Latitude,Longitude,AverageTemperature,AverageTemperatureUncertainty
1822-05-01,A Coruña,42.59,-8.73,14.175,1.745
1822-05-01,Aachen,50.63,6.34,15.002,2.109
1822-05-01,Aalborg,57.05,10.33,12.588,1.821
1822-05-01,Abadan,29.74,48.0,0.0,0.0
1822-05-01,Abakan,53.84,91.36,8.655,1.899
1822-05-01,Aberdeen,57.05,-1.48,9.572,1.585
1822-05-01,Abilene,32.95,-100.53,21.26,2.02
1822-05-01,Abohar,29.74,73.85,32.385999999999996,1.9909999999999999
1822-05-01,Achalpur,21.7,77.02,33.425,1.4609999999999999
1822-05-01,Acheng,45.81,128.08,11.627,1.984
1822-05-01,Achinsk,57.05,90.0,7.0630000000000015,2.031
1822-05-01,Adana,36.17,35.8,19.012999999999998,1.943
1822-05-01,Adilabad,20.09,78.48,34.542,1.4780000000000002
1822-05-01,Adoni,15.27,77.5,31.518000000000004,1.557
1822-05-01,Afyonkarahisar,39.38,31.21,13.453,1.946
1822-05-01,Agadir,29.74,-9.23,18.242,1.7180000000000002
1822-05-01,Agartala,23.31,91.75,28.359,1.604
1822-05-01,Agra,26.52,78.81,33.964,1.604
1822-05-01,Ahmadabad,23.31,72.52,32.53,1.455
1822-05-01,Ahmadnagar,18.48,74.37,29.381,1.431
1822-05-01,Ahmadpur East,29.74,72.0,32.7,2.0380000000000003
1822-05-01,Ahvaz,31.35,49.01,0.0,0.0
1822-05-01,Aix En Provence,44.2,4.47,15.845999999999998,1.966
1822-05-01,Aizawl,23.31,93.5,26.276999999999997,1.5219999999999998
1822-05-01,Ajdabiya,31.35,20.73,22.564,1.6119999999999999
1822-05-01,Ajmer,26.52,75.22,33.469,1.6969999999999998
1822-05-01,Akola,20.09,76.78,33.44,1.463
1822-05-01,Akron,40.99,-80.95,16.1,1.6019999999999999
1822-05-01,Aksaray,37.78,34.58,13.077,1.95
1822-05-01,Aksu,40.99,80.95,18.826,1.8869999999999998
1822-05-01,Aktau,44.2,51.43,16.499000000000002,1.901
1822-05-01,Akyab,20.09,92.13,27.616,1.5
1822-05-01,Alandur,13.66,80.09,32.387,1.621
1822-05-01,Alanya,36.17,31.82,17.972,1.8780000000000001
1822-05-01,Alappuzha,8.84,77.03,27.125,1.59
1822-05-01,Albacete,39.38,-2.08,15.237,1.754
1822-05-01,Albuquerque,34.56,-107.03,15.039000000000001,2.046
1822-05-01,Alcalá De Henares,40.99,-4.26,13.803,1.767
1822-05-01,Alcobendas,40.99,-4.26,13.803,1.767
1822-05-01,Alcorcón,40.99,-4.26,13.803,1.767
1822-05-01,Aleppo,36.17,37.79,19.915,1.922
1822-05-01,Alexandria,31.35,30.16,20.269000000000002,1.6019999999999999
1822-05-01,Alexandria,39.38,-76.99,18.319000000000006,1.5659999999999998
1822-05-01,Algeciras,36.17,-5.97,18.078,1.64
1822-05-01,Algiers,36.17,3.98,18.498,1.7619999999999998
1822-05-01,Aligarh,28.13,77.27,33.104,1.745
1822-05-01,Allahabad,24.92,81.58,34.063,1.53
1822-05-01,Allentown,40.99,-74.56,16.257,1.587
1822-05-01,Almaty,42.59,76.36,0.0,0.0
1822-05-01,Almere,52.24,5.26,14.437999999999999,2.01
1822-05-01,Almería,36.17,-1.99,18.149,1.6669999999999998
1822-05-01,Almetyevsk,55.45,51.02,9.339,2.245
1822-05-01,Altay,47.42,88.82,10.640999999999998,1.999
1822-05-01,Alwar,28.13,77.27,33.104,1.745
1822-05-01,Amadora,39.38,-8.32,16.950000000000006,1.7080000000000002
1822-05-01,Amarillo,34.56,-101.19,19.358,2.008
1822-05-01,Ambala,29.74,77.54,30.679000000000002,1.8130000000000002
1822-05-01,Ambarnath,18.48,72.68,28.405,1.391
1822-05-01,Ambattur,13.66,80.09,32.387,1.621
1822-05-01,Ambur,12.05,78.9,30.385,1.6369999999999998
1822-05-01,Amersfoort,52.24,5.26,14.437999999999999,2.01
1822-05-01,Amiens,49.03,2.45,16.047,2.614
1822-05-01,Amol,36.17,51.71,0.0,0.0
1822-05-01,Amravati,21.7,77.02,33.425,1.4609999999999999
1822-05-01,Amritsar,31.35,75.39,30.712,2.036
1822-05-01,Amroha,28.13,79.09,32.529999999999994,1.6640000000000001
1822-05-01,Amsterdam,52.24,5.26,14.437999999999999,2.01
1822-05-01,Anand,23.31,72.52,32.53,1.455
1822-05-01,Anantapur,15.27,77.5,31.518000000000004,1.557
1822-05-01,Ancona,44.2,13.42,17.143,2.04
1822-05-01,Anda,45.81,125.77,13.49,1.9880000000000002
1822-05-01,Angarsk,52.24,105.11,5.803,1.611
1822-05-01,Angers,47.42,-1.18,15.914000000000001,2.1919999999999997
1822-05-01,Ankang,32.95,108.19,16.615000000000002,1.75
1822-05-01,Ankara,39.38,33.29,12.808,1.9380000000000002
1822-05-01,Ann Arbor,42.59,-82.91,14.918,1.59
1822-05-01,Antakya,36.17,35.8,19.012999999999998,1.943
1822-05-01,Antalya,37.78,30.51,13.61,1.865
1822-05-01,Antananarivo,-18.48,47.32,0.0,0.0
1822-05-01,Antsirabe,-20.09,47.77,0.0,0.0
1822-05-01,Antwerp,50.63,3.8,15.716,2.213
1822-05-01,Anyang,36.17,113.37,16.914,1.8030000000000002
1822-05-01,Apeldoorn,52.24,5.26,14.437999999999999,2.01
1822-05-01,Aqtöbe,50.63,57.04,11.953,2.29
1822-05-01,Ara,24.92,85.12,32.686,1.6119999999999999
1822-05-01,Arad,45.81,21.92,16.162,2.6439999999999997
1822-05-01,Arak,34.56,50.59,0.0,0.0
1822-05-01,Ardabil,37.78,48.81,13.917,1.825
1822-05-01,Arkhangelsk,65.09,40.21,3.6919999999999997,1.432
1822-05-01,Arlington,32.95,-96.7,21.875999999999998,1.82
1822-05-01,Arlington,39.38,-76.99,18.319000000000006,1.5659999999999998
1822-05-01,Armavir,45.81,40.38,14.095,1.5830000000000002
1822-05-01,Arnhem,52.24,5.26,14.437999999999999,2.01
1822-05-01,Arvada,39.38,-106.13,5.562,1.9680000000000002
1822-05-01,Aryanah,36.17,9.94,20.589000000000002,1.6580000000000001
1822-05-01,Arzamas,55.45,42.52,10.28,1.65
1822-05-01,Asansol,23.31,86.5,31.558000000000003,1.7109999999999999
1822-05-01,Asfi,32.95,-8.62,17.801,1.6780000000000002
1822-05-01,Asgabat,37.78,58.98,0.0,0.0
1822-05-01,Ashdod,31.35,33.93,19.326,1.8130000000000002
1822-05-01,Ashqelon,31.35,33.93,19.326,1.8130000000000002
1822-05-01,Astana,50.63,72.25,11.5,2.329
1822-05-01,Astrakhan,45.81,47.31,15.576,1.7209999999999999
1822-05-01,Aswan,23.31,32.33,0.0,0.0
1822-05-01,Asyut,26.52,30.45,26.406999999999996,1.851
1822-05-01,Athens,37.78,24.41,18.904,1.777
1822-05-01,Atlanta,34.56,-83.68,19.314,1.625
1822-05-01,Atyrau,47.42,50.92,15.895,1.902
1822-05-01,Augsburg,47.42,10.66,11.027000000000001,1.9409999999999998
1822-05-01,Aurangabad,20.09,75.07,30.945999999999998,1.429
1822-05-01,Aurora,39.38,-104.05,12.442,1.985
1822-05-01,Aurora,40.99,-87.34,16.552,1.636
1822-05-01,Austin,29.74,-97.85,23.307,1.8940000000000001
1822-05-01,Avadi,13.66,80.09,32.387,1.621
1822-05-01,Azamgarh,26.52,82.39,32.419000000000004,1.565
1822-05-01,Babol,36.17,51.71,0.0,0.0
1822-05-01,Bacau,45.81,26.54,13.532,2.237
1822-05-01,Badajoz,39.38,-6.24,17.956999999999994,1.725
1822-05-01,Badalona,40.99,2.13,17.855,1.804
1822-05-01,Badlapur,18.48,72.68,28.405,1.391
1822-05-01,Bagaha,26.52,84.18,31.066,1.575
1822-05-01,Baghdad,32.95,45.0,26.568,1.9569999999999999
1822-05-01,Bago,16.87,97.12,27.752,1.492
1822-05-01,Bahadurgarh,28.13,77.27,33.104,1.745
1822-05-01,Baharampur,23.31,88.25,30.997,1.808
1822-05-01,Bahawalnagar,29.74,73.85,32.385999999999996,1.9909999999999999
1822-05-01,Bahawalpur,29.74,72.0,32.7,2.0380000000000003
1822-05-01,Bahraich,28.13,80.91,30.188,1.6
1822-05-01,Baia Mare,47.42,22.5,16.313000000000002,2.6180000000000003
1822-05-01,Baicheng,45.81,123.46,13.99,1.965
1822-05-01,Baidyabati,23.31,88.25,30.997,1.808
