dt,City,Latitude,Longitude,AverageTemperature,AverageTemperatureUncertainty
1796-01-01,A Coruña,42.59,-8.73,8.979999999999997,3.162
1796-01-01,Aachen,50.63,6.34,5.657,3.9019999999999997
1796-01-01,Aalborg,57.05,10.33,5.096,4.168
1796-01-01,Aberdeen,57.05,-1.48,8.435,4.01
1796-01-01,Achalpur,21.7,77.02,19.637,2.27
1796-01-01,Adana,36.17,35.8,11.244000000000002,2.685
1796-01-01,Adilabad,20.09,78.48,21.899,2.291
1796-01-01,Adoni,15.27,77.5,23.642,2.318
1796-01-01,Afyonkarahisar,39.38,31.21,1.819,2.86
1796-01-01,Agadir,29.74,-9.23,0.0,0.0
1796-01-01,Agartala,23.31,91.75,18.173,2.289
1796-01-01,Agra,26.52,78.81,14.855,2.339
1796-01-01,Ahmadabad,23.31,72.52,19.649,2.286
1796-01-01,Ahmadnagar,18.48,74.37,20.506999999999998,2.219
1796-01-01,Aix En Provence,44.2,4.47,4.137,3.7239999999999998
1796-01-01,Aizawl,23.31,93.5,16.364,2.266
1796-01-01,Ajdabiya,31.35,20.73,11.807,2.795
1796-01-01,Ajmer,26.52,75.22,15.86,2.372
1796-01-01,Akola,20.09,76.78,21.343000000000004,2.276
1796-01-01,Akron,40.99,-80.95,-2.623,3.148
1796-01-01,Aksaray,37.78,34.58,1.551,2.8680000000000003
1796-01-01,Aktau,44.2,51.43,0.0,0.0
1796-01-01,Akyab,20.09,92.13,22.011999999999997,2.21
1796-01-01,Alandur,13.66,80.09,24.252,2.4330000000000003
1796-01-01,Alanya,36.17,31.82,12.688,2.656
1796-01-01,Alappuzha,8.84,77.03,26.022,2.211
1796-01-01,Albacete,39.38,-2.08,4.561,3.384
1796-01-01,Alcalá De Henares,40.99,-4.26,3.783,3.3569999999999998
1796-01-01,Alcobendas,40.99,-4.26,3.783,3.3569999999999998
1796-01-01,Alcorcón,40.99,-4.26,3.783,3.3569999999999998
1796-01-01,Aleppo,36.17,37.79,0.0,0.0
1796-01-01,Alexandria,31.35,30.16,14.524,2.6039999999999996
1796-01-01,Alexandria,39.38,-76.99,0.274,3.105
1796-01-01,Algeciras,36.17,-5.97,11.655999999999999,3.071
1796-01-01,Algiers,36.17,3.98,7.529,3.3939999999999997
1796-01-01,Aligarh,28.13,77.27,14.59,2.374
1796-01-01,Allahabad,24.92,81.58,16.186,2.3040000000000003
1796-01-01,Allentown,40.99,-74.56,-2.6460000000000004,3.196
1796-01-01,Almere,52.24,5.26,6.442,4.067
1796-01-01,Almería,36.17,-1.99,12.958,3.225
1796-01-01,Almetyevsk,55.45,51.02,-12.655999999999999,3.301
1796-01-01,Alwar,28.13,77.27,14.59,2.374
1796-01-01,Amadora,39.38,-8.32,9.054,3.0869999999999997
1796-01-01,Ambala,29.74,77.54,13.15,2.3930000000000002
1796-01-01,Ambarnath,18.48,72.68,24.316999999999997,2.19
1796-01-01,Ambattur,13.66,80.09,24.252,2.4330000000000003
1796-01-01,Ambur,12.05,78.9,24.04300000000001,2.387
1796-01-01,Amersfoort,52.24,5.26,6.442,4.067
1796-01-01,Amiens,49.03,2.45,6.68,3.855
1796-01-01,Amravati,21.7,77.02,19.637,2.27
1796-01-01,Amroha,28.13,79.09,14.892000000000001,2.3569999999999998
1796-01-01,Amsterdam,52.24,5.26,6.442,4.067
1796-01-01,Anand,23.31,72.52,19.649,2.286
1796-01-01,Anantapur,15.27,77.5,23.642,2.318
1796-01-01,Ancona,44.2,13.42,8.372,3.873
1796-01-01,Angers,47.42,-1.18,6.2650000000000015,3.7039999999999997
1796-01-01,Ankara,39.38,33.29,0.411,2.908
1796-01-01,Ann Arbor,42.59,-82.91,-4.5569999999999995,3.136
1796-01-01,Antakya,36.17,35.8,11.244000000000002,2.685
1796-01-01,Antalya,37.78,30.51,3.178,2.7689999999999997
1796-01-01,Antananarivo,-18.48,47.32,0.0,0.0
1796-01-01,Antsirabe,-20.09,47.77,0.0,0.0
1796-01-01,Antwerp,50.63,3.8,6.787999999999999,3.918
1796-01-01,Apeldoorn,52.24,5.26,6.442,4.067
1796-01-01,Aqtöbe,50.63,57.04,0.0,0.0
1796-01-01,Ara,24.92,85.12,15.869000000000002,2.303
1796-01-01,Arad,45.81,21.92,1.881,3.237
1796-01-01,Arkhangelsk,65.09,40.21,-10.164,3.55
1796-01-01,Arlington,39.38,-76.99,0.274,3.105
1796-01-01,Armavir,45.81,40.38,-1.3090000000000002,3.076
1796-01-01,Arnhem,52.24,5.26,6.442,4.067
1796-01-01,Aryanah,36.17,9.94,10.503,3.312
1796-01-01,Arzamas,55.45,42.52,-9.204,3.176
1796-01-01,Asansol,23.31,86.5,17.805999999999994,2.291
1796-01-01,Asfi,32.95,-8.62,11.974,2.7569999999999997
1796-01-01,Astrakhan,45.81,47.31,0.0,0.0
1796-01-01,Athens,37.78,24.41,11.616,2.805
1796-01-01,Atlanta,34.56,-83.68,5.044,3.072
1796-01-01,Atyrau,47.42,50.92,0.0,0.0
1796-01-01,Augsburg,47.42,10.66,-0.12099999999999955,3.6830000000000003
1796-01-01,Aurangabad,20.09,75.07,20.072000000000006,2.241
1796-01-01,Aurora,39.38,-104.05,0.0,0.0
1796-01-01,Aurora,40.99,-87.34,-3.993,3.299
1796-01-01,Avadi,13.66,80.09,24.252,2.4330000000000003
1796-01-01,Azamgarh,26.52,82.39,15.384,2.326
1796-01-01,Bacau,45.81,26.54,-0.4390000000000005,3.0669999999999997
1796-01-01,Badajoz,39.38,-6.24,7.827000000000001,3.214
1796-01-01,Badalona,40.99,2.13,10.719000000000001,3.5580000000000003
1796-01-01,Badlapur,18.48,72.68,24.316999999999997,2.19
1796-01-01,Bagaha,26.52,84.18,15.552,2.305
1796-01-01,Bago,16.87,97.12,24.305,2.326
1796-01-01,Bahadurgarh,28.13,77.27,14.59,2.374
1796-01-01,Baharampur,23.31,88.25,18.708,2.305
1796-01-01,Bahraich,28.13,80.91,14.148,2.358
1796-01-01,Baia Mare,47.42,22.5,1.6919999999999995,3.2710000000000004
1796-01-01,Baidyabati,23.31,88.25,18.708,2.305
1796-01-01,Balakovo,52.24,47.3,-11.056,3.295
1796-01-01,Balashikha,55.45,36.85,-6.557,3.0860000000000003
1796-01-01,Baleshwar,21.7,87.4,20.002,2.275
1796-01-01,Ballia,26.52,84.18,15.552,2.305
1796-01-01,Bally,23.31,88.25,18.708,2.305
1796-01-01,Balti,47.42,27.24,-0.23000000000000045,3.133
1796-01-01,Baltimore,39.38,-76.99,0.274,3.105
1796-01-01,Balurghat,24.92,88.67,17.369999999999994,2.32
1796-01-01,Banda,24.92,79.8,16.115000000000002,2.3
1796-01-01,Banda Aceh,5.630000000000001,95.25,25.879,2.1109999999999998
1796-01-01,Bangalore,12.05,77.26,22.671999999999997,2.3169999999999997
1796-01-01,Bangaon,23.31,88.25,18.708,2.305
1796-01-01,Banja Luka,44.2,17.89,1.725,3.445
1796-01-01,Bankura,23.31,86.5,17.805999999999994,2.291
1796-01-01,Bansbaria,23.31,88.25,18.708,2.305
1796-01-01,Barakpur,23.31,88.25,18.708,2.305
1796-01-01,Baranagar,23.31,88.25,18.708,2.305
1796-01-01,Barasat,23.31,88.25,18.708,2.305
1796-01-01,Barcelona,40.99,2.13,10.719000000000001,3.5580000000000003
1796-01-01,Barddhaman,23.31,88.25,18.708,2.305
1796-01-01,Bareli,28.13,79.09,14.892000000000001,2.3569999999999998
1796-01-01,Bari,40.99,17.04,9.67,3.238
1796-01-01,Baripada,21.7,87.4,20.002,2.275
1796-01-01,Barisal,23.31,90.0,18.476000000000006,2.303
1796-01-01,Barrie,44.2,-80.5,-7.4289999999999985,3.123
1796-01-01,Barsi,18.48,76.06,21.744,2.2569999999999997
1796-01-01,Basel,47.42,8.29,1.6750000000000005,3.553
1796-01-01,Basildon,52.24,0.0,7.32,3.9539999999999997
1796-01-01,Basirhat,23.31,88.25,18.708,2.305
1796-01-01,Basti,26.52,82.39,15.384,2.326
1796-01-01,Bataysk,47.42,39.08,-2.897,3.1260000000000003
1796-01-01,Batman,37.78,40.68,0.0,0.0
1796-01-01,Baton Rouge,29.74,-90.46,0.0,0.0
1796-01-01,Bayrut,34.56,35.03,12.964,2.656
1796-01-01,Beawar,26.52,73.43,16.82,2.387
1796-01-01,Begusarai,24.92,86.9,16.891,2.309
1796-01-01,Beirut,34.56,35.03,12.964,2.656
1796-01-01,Belfast,55.45,-5.67,8.383,3.8739999999999997
1796-01-01,Belgaum,15.27,74.17,24.105,2.204
1796-01-01,Belgorod,50.63,36.76,-5.1099999999999985,3.0989999999999998
1796-01-01,Belgrade,44.2,20.12,2.246,3.2939999999999996
1796-01-01,Bellary,15.27,77.5,23.642,2.318
1796-01-01,Benghazi,32.95,20.11,13.512,2.8160000000000003
1796-01-01,Berezniki,58.66,55.38,-14.632,3.451
1796-01-01,Bergamo,45.81,10.38,1.4449999999999998,3.825
1796-01-01,Bergen,60.27,6.49,-2.1110000000000007,4.176
1796-01-01,Bergisch Gladbach,50.63,6.34,5.657,3.9019999999999997
1796-01-01,Berlin,52.24,13.14,5.973,4.218999999999999
1796-01-01,Bern,47.42,8.29,1.6750000000000005,3.553
1796-01-01,Besançon,47.42,5.92,3.469,3.718
1796-01-01,Bettiah,26.52,84.18,15.552,2.305
1796-01-01,Bhadravati,13.66,75.14,24.333,2.2430000000000003
1796-01-01,Bhadreswar,23.31,88.25,18.708,2.305
1796-01-01,Bhagalpur,24.92,86.9,16.891,2.309
1796-01-01,Bhairab Bazar,24.92,90.44,17.668,2.31
1796-01-01,Bharatpur,26.52,77.01,15.615,2.353
1796-01-01,Bharatpur,28.13,84.55,5.89,2.3680000000000003
1796-01-01,Bharuch,21.7,73.56,20.230999999999998,2.23
1796-01-01,Bhatpara,23.31,88.25,18.708,2.305
1796-01-01,Bhavnagar,21.7,71.83,20.772,2.246
1796-01-01,Bhilai,21.7,82.21,19.688,2.285
1796-01-01,Bhilwara,24.92,74.48,16.634,2.329
1796-01-01,Bhimavaram,16.87,82.05,23.494,2.302
1796-01-01,Bhind,26.52,78.81,14.855,2.339
1796-01-01,Bhiwandi,20.09,73.36,19.819000000000006,2.21
1796-01-01,Bhiwani,28.13,75.45,14.427999999999999,2.395
1796-01-01,Bhopal,23.31,77.77,18.115,2.281
1796-01-01,Bhubaneswar,20.09,85.31,21.456999999999997,2.262
1796-01-01,Bhuj,23.31,69.03,18.987000000000002,2.305
1796-01-01,Bhusawal,21.7,75.29,19.769,2.241
1796-01-01,Bialystok,53.84,23.18,0.8959999999999999,3.415
1796-01-01,Bid,18.48,76.06,21.744,2.2569999999999997
1796-01-01,Bidar,18.48,77.75,22.193,2.289
1796-01-01,Bielefeld,52.24,7.880000000000001,6.297999999999999,4.011
1796-01-01,Bielsko Biala,50.63,19.01,3.032,3.6
1796-01-01,Bihar,24.92,85.12,15.869000000000002,2.303
1796-01-01,Bijapur,16.87,75.35,22.75,2.2430000000000003
1796-01-01,Bikaner,28.13,73.64,14.748,2.411
1796-01-01,Bila Tserkva,49.03,29.39,-1.2919999999999998,3.07
1796-01-01,Bilaspur,21.7,82.21,19.688,2.285
1796-01-01,Bilbao,42.59,-2.18,4.9510000000000005,3.49
1796-01-01,Biratnagar,26.52,87.76,14.424,2.316
1796-01-01,Birganj,26.52,84.18,15.552,2.305
1796-01-01,Birmingham,32.95,-87.13,7.678,3.215
1796-01-01,Birmingham,52.24,-2.63,6.834,3.9930000000000003
1796-01-01,Blackburn,53.84,-1.36,6.415,4.085
1796-01-01,Blackpool,53.84,-4.09,8.952,3.932
1796-01-01,Bochum,52.24,7.880000000000001,6.297999999999999,4.011
1796-01-01,Bokaro,23.31,86.5,17.805999999999994,2.291
1796-01-01,Bologna,44.2,11.18,4.747999999999998,3.87
1796-01-01,Bolton,53.84,-1.36,6.415,4.085
1796-01-01,Bombay,18.48,72.68,24.316999999999997,2.19
1796-01-01,Bonn,50.63,6.34,5.657,3.9019999999999997
1796-01-01,Bordeaux,44.2,0.0,5.805,3.616
1796-01-01,Boston,42.59,-72.0,-5.278,3.134
1796-01-01,Botad,21.7,71.83,20.772,2.246
1796-01-01,Botosani,47.42,27.24,-0.23000000000000045,3.133
1796-01-01,Bottrop,52.24,7.880000000000001,6.297999999999999,4.011
1796-01-01,Boulogne Billancourt,49.03,2.45,6.68,3.855
1796-01-01,Bournemouth,50.63,-1.27,9.036,3.888
1796-01-01,Bradford,53.84,-1.36,6.415,4.085
1796-01-01,Braga,40.99,-8.52,8.437000000000001,3.1260000000000003
1796-01-01,Brahmapur,18.48,84.51,22.523000000000003,2.25
1796-01-01,Braila,45.81,28.85,0.8390000000000001,3.048
1796-01-01,Brasov,45.81,26.54,-0.4390000000000005,3.0669999999999997
1796-01-01,Bratislava,47.42,17.76,3.389,3.57
1796-01-01,Breda,52.24,5.26,6.442,4.067
1796-01-01,Bremen,53.84,9.55,5.614,4.129
1796-01-01,Bremerhaven,53.84,9.55,5.614,4.129
1796-01-01,Brescia,45.81,10.38,1.4449999999999998,3.825
1796-01-01,Brest,49.03,-4.9,10.445,3.642
1796-01-01,Brest,52.24,23.65,1.0179999999999998,3.466
1796-01-01,Bridgeport,40.99,-72.43,-0.19299999999999995,3.123
1796-01-01,Brighton,50.63,-1.27,9.036,3.888
1796-01-01,Bristol,52.24,-2.63,6.834,3.9930000000000003
1796-01-01,Brno,49.03,17.14,2.6760000000000006,3.62
1796-01-01,Brugge,50.63,3.8,6.787999999999999,3.918
1796-01-01,Brunswick,52.24,10.51,5.942,4.035
1796-01-01,Brussels,50.63,3.8,6.787999999999999,3.918
1796-01-01,Bryansk,53.84,34.09,-5.312,3.0210000000000004
1796-01-01,Bucharest,44.2,26.83,1.137,3.036
1796-01-01,Budapest,47.42,20.13,2.8710000000000004,3.4419999999999997
