dt,City,Latitude,Longitude,AverageTemperature,AverageTemperatureUncertainty
1827-06-01,A Coruña,42.59,-8.73,16.252000000000002,1.7369999999999999
1827-06-01,Aachen,50.63,6.34,16.099999999999998,2.187
1827-06-01,Aalborg,57.05,10.33,16.000999999999998,2.4
1827-06-01,Abadan,29.74,48.0,0.0,0.0
1827-06-01,Abakan,53.84,91.36,16.684,1.7690000000000001
1827-06-01,Aberdeen,57.05,-1.48,11.437000000000001,2.698
1827-06-01,Abilene,32.95,-100.53,26.34,2.38
1827-06-01,Abohar,29.74,73.85,0.0,0.0
1827-06-01,Acarigua,8.84,-68.92,0.0,0.0
1827-06-01,Achalpur,21.7,77.02,31.059,2.318
1827-06-01,Acheng,45.81,128.08,19.079,1.9269999999999998
1827-06-01,Achinsk,57.05,90.0,15.786,1.9140000000000001
1827-06-01,Acuña,29.74,-101.54,27.898000000000003,2.33
1827-06-01,Adana,36.17,35.8,24.634,2.086
1827-06-01,Adilabad,20.09,78.48,31.854,2.366
1827-06-01,Adiwerna,-7.23,109.46,0.0,0.0
1827-06-01,Adoni,15.27,77.5,29.158,2.375
1827-06-01,Afyonkarahisar,39.38,31.21,19.803,2.3040000000000003
1827-06-01,Agadir,29.74,-9.23,21.363000000000003,1.426
1827-06-01,Agartala,23.31,91.75,28.238000000000003,1.89
1827-06-01,Agra,26.52,78.81,33.884,2.36
1827-06-01,Ahmadabad,23.31,72.52,31.74,2.057
1827-06-01,Ahmadnagar,18.48,74.37,27.31600000000001,2.193
1827-06-01,Ahmadpur East,29.74,72.0,0.0,0.0
1827-06-01,Ahvaz,31.35,49.01,0.0,0.0
1827-06-01,Aix En Provence,44.2,4.47,17.961,2.318
1827-06-01,Aizawl,23.31,93.5,26.311,1.851
1827-06-01,Ajdabiya,31.35,20.73,25.167,2.259
1827-06-01,Ajmer,26.52,75.22,33.431,2.234
1827-06-01,Akola,20.09,76.78,30.792,2.3169999999999997
1827-06-01,Akron,40.99,-80.95,19.434,2.5380000000000003
1827-06-01,Aksaray,37.78,34.58,19.749000000000002,2.207
1827-06-01,Aksu,40.99,80.95,0.0,0.0
1827-06-01,Aktau,44.2,51.43,24.215999999999998,2.343
