dt,City,Latitude,Longitude,AverageTemperature,AverageTemperatureUncertainty
1772-03-01,A Coruña,42.59,-8.73,9.934,3.318
1772-03-01,Aachen,50.63,6.34,5.042000000000002,4.7669999999999995
1772-03-01,Aalborg,57.05,10.33,-0.867,4.887
1772-03-01,Aberdeen,57.05,-1.48,2.6140000000000003,4.617
1772-03-01,Afyonkarahisar,39.38,31.21,4.7940000000000005,3.5380000000000003
1772-03-01,Aix En Provence,44.2,4.47,9.041,3.842
1772-03-01,Akron,40.99,-80.95,-0.08999999999999986,2.7030000000000003
1772-03-01,Albacete,39.38,-2.08,8.847000000000003,3.32
1772-03-01,Alcalá De Henares,40.99,-4.26,7.377999999999999,3.3960000000000004
1772-03-01,Alcobendas,40.99,-4.26,7.377999999999999,3.3960000000000004
1772-03-01,Alcorcón,40.99,-4.26,7.377999999999999,3.3960000000000004
1772-03-01,Alexandria,39.38,-76.99,2.642,2.59
1772-03-01,Algeciras,36.17,-5.97,13.684000000000001,3.034
1772-03-01,Algiers,36.17,3.98,12.23,3.2439999999999998
1772-03-01,Allentown,40.99,-74.56,-0.5390000000000001,2.5580000000000003
1772-03-01,Almere,52.24,5.26,4.574,4.73
1772-03-01,Almería,36.17,-1.99,14.324000000000002,3.127
1772-03-01,Almetyevsk,55.45,51.02,-9.245,3.7889999999999997
1772-03-01,Amadora,39.38,-8.32,11.866,3.202
1772-03-01,Amersfoort,52.24,5.26,4.574,4.73
1772-03-01,Amiens,49.03,2.45,7.032,4.444
1772-03-01,Amsterdam,52.24,5.26,4.574,4.73
1772-03-01,Ancona,44.2,13.42,10.564,4.0280000000000005
1772-03-01,Angers,47.42,-1.18,7.840999999999997,4.051
1772-03-01,Ankara,39.38,33.29,0.0,0.0
1772-03-01,Ann Arbor,42.59,-82.91,-1.953,2.761
1772-03-01,Antwerp,50.63,3.8,6.0710000000000015,4.79
1772-03-01,Apeldoorn,52.24,5.26,4.574,4.73
1772-03-01,Arad,45.81,21.92,4.875,4.13
1772-03-01,Arkhangelsk,65.09,40.21,-11.020999999999999,4.329
1772-03-01,Arlington,39.38,-76.99,2.642,2.59
1772-03-01,Armavir,45.81,40.38,1.035,3.655
1772-03-01,Arnhem,52.24,5.26,4.574,4.73
1772-03-01,Aryanah,36.17,9.94,14.362,3.279
1772-03-01,Arzamas,55.45,42.52,-7.473,3.9730000000000003
1772-03-01,Athens,37.78,24.41,11.95,3.367
1772-03-01,Atlanta,34.56,-83.68,7.390999999999999,2.8939999999999997
1772-03-01,Augsburg,47.42,10.66,2.005,4.6080000000000005
1772-03-01,Aurora,40.99,-87.34,0.625,3.003
1772-03-01,Bacau,45.81,26.54,1.349,4.013
1772-03-01,Badajoz,39.38,-6.24,11.482999999999999,3.2680000000000002
1772-03-01,Badalona,40.99,2.13,13.19,3.452
1772-03-01,Baia Mare,47.42,22.5,3.8360000000000003,4.26
1772-03-01,Balakovo,52.24,47.3,-7.931999999999999,3.858
1772-03-01,Balashikha,55.45,36.85,-6.862,4.449
1772-03-01,Balti,47.42,27.24,1.315,4.131
1772-03-01,Baltimore,39.38,-76.99,2.642,2.59
1772-03-01,Banja Luka,44.2,17.89,5.55,4.061
1772-03-01,Barcelona,40.99,2.13,13.19,3.452
1772-03-01,Bari,40.99,17.04,11.547,3.635
1772-03-01,Barrie,44.2,-80.5,-5.5829999999999975,2.699
1772-03-01,Basel,47.42,8.29,4.25,4.593
1772-03-01,Basildon,52.24,0.0,4.6030000000000015,4.687
1772-03-01,Bataysk,47.42,39.08,-1.08,3.7689999999999997
1772-03-01,Baton Rouge,29.74,-90.46,0.0,0.0
1772-03-01,Belfast,55.45,-5.67,3.5810000000000004,4.42
1772-03-01,Belgorod,50.63,36.76,-4.144,4.052
1772-03-01,Belgrade,44.2,20.12,6.007999999999999,3.964
1772-03-01,Benghazi,32.95,20.11,14.113,3.2089999999999996
1772-03-01,Berezniki,58.66,55.38,-9.275,3.7569999999999997
1772-03-01,Bergamo,45.81,10.38,7.129,4.285
1772-03-01,Bergen,60.27,6.49,-6.535,4.773
1772-03-01,Bergisch Gladbach,50.63,6.34,5.042000000000002,4.7669999999999995
1772-03-01,Berlin,52.24,13.14,3.905,4.9060000000000015
1772-03-01,Bern,47.42,8.29,4.25,4.593
1772-03-01,Besançon,47.42,5.92,6.313,4.593999999999999
1772-03-01,Bialystok,53.84,23.18,-2.441,4.868
1772-03-01,Bielefeld,52.24,7.880000000000001,4.2970000000000015,4.78
1772-03-01,Bielsko Biala,50.63,19.01,2.112,4.704
1772-03-01,Bila Tserkva,49.03,29.39,-0.931,4.209
1772-03-01,Bilbao,42.59,-2.18,8.5,3.5410000000000004
1772-03-01,Birmingham,32.95,-87.13,10.399000000000001,3.075
1772-03-01,Birmingham,52.24,-2.63,4.2669999999999995,4.458
1772-03-01,Blackburn,53.84,-1.36,3.499,4.688
1772-03-01,Blackpool,53.84,-4.09,4.0470000000000015,4.477
1772-03-01,Bochum,52.24,7.880000000000001,4.2970000000000015,4.78
1772-03-01,Bologna,44.2,11.18,9.321,3.995
1772-03-01,Bolton,53.84,-1.36,3.499,4.688
1772-03-01,Bonn,50.63,6.34,5.042000000000002,4.7669999999999995
1772-03-01,Bordeaux,44.2,0.0,9.529,3.742
1772-03-01,Boston,42.59,-72.0,-3.1910000000000003,2.605
1772-03-01,Botosani,47.42,27.24,1.315,4.131
1772-03-01,Bottrop,52.24,7.880000000000001,4.2970000000000015,4.78
1772-03-01,Boulogne Billancourt,49.03,2.45,7.032,4.444
1772-03-01,Bournemouth,50.63,-1.27,5.681,4.386
1772-03-01,Bradford,53.84,-1.36,3.499,4.688
1772-03-01,Braga,40.99,-8.52,10.405,3.261
1772-03-01,Braila,45.81,28.85,2.735,3.935
1772-03-01,Brasov,45.81,26.54,1.349,4.013
1772-03-01,Bratislava,47.42,17.76,5.83,4.453
1772-03-01,Breda,52.24,5.26,4.574,4.73
1772-03-01,Bremen,53.84,9.55,2.342,4.803999999999999
1772-03-01,Bremerhaven,53.84,9.55,2.342,4.803999999999999
1772-03-01,Brescia,45.81,10.38,7.129,4.285
1772-03-01,Brest,49.03,-4.9,7.367000000000001,4.029
1772-03-01,Brest,52.24,23.65,-0.897,4.67
1772-03-01,Bridgeport,40.99,-72.43,-0.3610000000000002,2.544
1772-03-01,Brighton,50.63,-1.27,5.681,4.386
1772-03-01,Bristol,52.24,-2.63,4.2669999999999995,4.458
1772-03-01,Brno,49.03,17.14,3.627,4.638
1772-03-01,Brugge,50.63,3.8,6.0710000000000015,4.79
1772-03-01,Brunswick,52.24,10.51,3.447,4.835
1772-03-01,Brussels,50.63,3.8,6.0710000000000015,4.79
1772-03-01,Bryansk,53.84,34.09,-5.7079999999999975,4.375
1772-03-01,Bucharest,44.2,26.83,4.665,3.8360000000000003
1772-03-01,Budapest,47.42,20.13,5.051,4.343999999999999
1772-03-01,Buffalo,42.59,-78.55,-2.905,2.614
1772-03-01,Burgas,42.59,28.36,5.22,3.674
1772-03-01,Burgos,42.59,-4.36,7.295,3.4989999999999997
1772-03-01,Bursa,39.38,29.13,5.444,3.49
1772-03-01,Buzau,45.81,26.54,1.349,4.013
1772-03-01,Bydgoszcz,53.84,17.73,0.03499999999999992,4.96
1772-03-01,Bytom,50.63,19.01,2.112,4.704
1772-03-01,Cadiz,36.17,-5.97,13.684000000000001,3.034
1772-03-01,Caen,49.03,0.0,6.584,4.312
1772-03-01,Cagliari,39.38,8.32,13.63,3.424
1772-03-01,Calgary,50.63,-112.82,0.0,0.0
1772-03-01,Cambridge,42.59,-72.0,-3.1910000000000003,2.605
1772-03-01,Cambridge,52.24,0.0,4.6030000000000015,4.687
1772-03-01,Cape Coral,26.52,-82.39,0.0,0.0
1772-03-01,Cardiff,52.24,-2.63,4.2669999999999995,4.458
1772-03-01,Cartagena,37.78,0.0,14.43,3.235
1772-03-01,Cary,36.17,-79.56,6.6320000000000014,2.718
1772-03-01,Casablanca,32.95,-6.7,12.543,2.9760000000000004
1772-03-01,Catania,37.78,14.24,10.935,3.355
1772-03-01,Cedar Rapids,42.59,-91.64,-1.571,3.281
1772-03-01,Charleroi,50.63,3.8,6.0710000000000015,4.79
1772-03-01,Charleston,32.95,-79.47,11.645,2.805
1772-03-01,Charlotte,34.56,-81.73,8.709999999999999,2.823
