dt,City,Latitude,Longitude,AverageTemperature,AverageTemperatureUncertainty
1825-05-01,A Coruña,42.59,-8.73,13.569,1.196
1825-05-01,Aachen,50.63,6.34,12.966,0.956
1825-05-01,Aalborg,57.05,10.33,11.3,0.977
1825-05-01,Abadan,29.74,48.0,0.0,0.0
1825-05-01,Abakan,53.84,91.36,9.725,2.133
1825-05-01,Aberdeen,57.05,-1.48,8.679,1.143
1825-05-01,Abilene,32.95,-100.53,21.593000000000004,1.76
1825-05-01,Abohar,29.74,73.85,0.0,0.0
1825-05-01,Acarigua,8.84,-68.92,27.576,1.57
1825-05-01,Achalpur,21.7,77.02,33.4,1.536
1825-05-01,Acheng,45.81,128.08,12.171,1.8330000000000002
1825-05-01,Achinsk,57.05,90.0,8.107999999999999,2.262
1825-05-01,Acuña,29.74,-101.54,24.142,1.765
1825-05-01,Adana,36.17,35.8,19.817,1.932
1825-05-01,Adilabad,20.09,78.48,34.481,1.591
1825-05-01,Adiwerna,-7.23,109.46,26.148000000000003,1.09
1825-05-01,Adoni,15.27,77.5,31.63000000000001,1.5530000000000002
1825-05-01,Afyonkarahisar,39.38,31.21,13.979000000000001,1.85
1825-05-01,Agadir,29.74,-9.23,18.461,1.3659999999999999
1825-05-01,Agartala,23.31,91.75,27.95300000000001,1.472
1825-05-01,Agra,26.52,78.81,33.873000000000005,1.784
1825-05-01,Ahmadabad,23.31,72.52,32.648,1.4340000000000002
1825-05-01,Ahmadnagar,18.48,74.37,29.5,1.39
1825-05-01,Ahmadpur East,29.74,72.0,0.0,0.0
1825-05-01,Ahvaz,31.35,49.01,0.0,0.0
1825-05-01,Aix En Provence,44.2,4.47,14.634,1.3459999999999999
1825-05-01,Aizawl,23.31,93.5,25.97,1.4469999999999998
1825-05-01,Ajdabiya,31.35,20.73,22.79300000000001,1.631
1825-05-01,Ajmer,26.52,75.22,33.503,1.825
1825-05-01,Akola,20.09,76.78,33.448,1.518
1825-05-01,Akron,40.99,-80.95,15.097000000000001,1.073
1825-05-01,Aksaray,37.78,34.58,13.805,1.974
1825-05-01,Aksu,40.99,80.95,0.0,0.0
1825-05-01,Aktau,44.2,51.43,17.113,2.23
1825-05-01,Akyab,20.09,92.13,27.316,1.371
1825-05-01,Alandur,13.66,80.09,32.51,1.641
1825-05-01,Alanya,36.17,31.82,18.62,1.804
1825-05-01,Alappuzha,8.84,77.03,27.408,1.42
1825-05-01,Albacete,39.38,-2.08,14.635000000000002,1.136
1825-05-01,Albuquerque,34.56,-107.03,15.343,1.8559999999999999
1825-05-01,Alcalá De Henares,40.99,-4.26,13.109000000000002,1.13
1825-05-01,Alcobendas,40.99,-4.26,13.109000000000002,1.13
1825-05-01,Alcorcón,40.99,-4.26,13.109000000000002,1.13
1825-05-01,Aleppo,36.17,37.79,20.781,1.9969999999999999
1825-05-01,Alexandria,31.35,30.16,20.878,1.6380000000000001
1825-05-01,Alexandria,39.38,-76.99,17.038,1.287
1825-05-01,Algeciras,36.17,-5.97,17.89,0.9309999999999999
1825-05-01,Algiers,36.17,3.98,18.079,1.339
1825-05-01,Aligarh,28.13,77.27,33.088,1.919
1825-05-01,Allahabad,24.92,81.58,33.832,1.663
1825-05-01,Allentown,40.99,-74.56,15.135,1.641
1825-05-01,Almaty,42.59,76.36,0.0,0.0
